State FIPS,County FIPS,id,FIPS2,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,rate,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
1,1,1001,US1001,AL,Autauga County,"5,366","4,417","6,316",10.70,8.8,12.6,"1,944","1,542","2,345",14.9,11.8,18,"1,234",948,"1,520",12.9,9.9,15.9,"51,622","48,564","54,679",,,,,,
1,3,1003,US1003,AL,Baldwin County,"17,110","14,523","19,696",9.90,8.4,11.4,"6,071","4,919","7,223",15.1,12.2,17.9,"3,961","3,164","4,758",13.7,10.9,16.4,"51,957","49,195","54,720",,,,,,
1,5,1005,US1005,AL,Barbour County,"6,399","5,393","7,406",24.50,20.7,28.4,"2,070","1,684","2,456",31.9,25.9,37.8,"1,371","1,061","1,681",28.8,22.3,35.4,"30,896","27,934","33,858",,,,,,
1,7,1007,US1007,AL,Bibb County,"3,753","3,000","4,505",18.50,14.8,22.2,"1,252",978,"1,525",25,19.5,30.4,805,613,997,21.8,16.6,27,"41,076","37,938","44,214",,,,,,
1,9,1009,US1009,AL,Blount County,"7,461","6,097","8,824",13.10,10.7,15.5,"2,349","1,857","2,841",17.3,13.7,20.9,"1,535","1,187","1,883",15.5,12,19,"46,086","42,817","49,355",,,,,,
1,11,1011,US1011,AL,Bullock County,"3,074","2,452","3,695",33.60,26.8,40.4,947,740,"1,154",38,29.7,46.3,595,452,738,35.2,26.8,43.7,"26,980","24,328","29,632",,,,,,
1,13,1013,US1013,AL,Butler County,"4,415","3,598","5,231",22.30,18.2,26.4,"1,469","1,167","1,770",30.9,24.5,37.2,952,741,"1,163",28.1,21.9,34.3,"31,449","28,470","34,428",,,,,,
1,15,1015,US1015,AL,Calhoun County,"19,441","16,828","22,053",17.60,15.2,19.9,"5,908","4,834","6,982",22.9,18.8,27.1,"3,657","2,922","4,392",20.1,16,24.1,"39,997","37,472","42,522",,,,,,
1,17,1017,US1017,AL,Chambers County,"6,320","5,310","7,330",18.70,15.7,21.7,"2,102","1,727","2,476",26.8,22,31.6,"1,362","1,057","1,667",23.4,18.2,28.7,"35,614","33,178","38,050",,,,,,
1,19,1019,US1019,AL,Cherokee County,"4,264","3,413","5,114",17.70,14.1,21.2,"1,356","1,062","1,650",26.5,20.8,32.3,871,667,"1,075",23,17.6,28.4,"38,028","34,613","41,443",,,,,,
1,21,1021,US1021,AL,Chilton County,"7,162","5,945","8,379",17.10,14.2,20,"2,442","1,957","2,927",24,19.2,28.8,"1,596","1,252","1,940",21.7,17.1,26.4,"40,292","36,674","43,911",,,,,,
1,23,1023,US1023,AL,Choctaw County,"3,177","2,551","3,803",22.90,18.4,27.4,905,710,"1,101",29.3,23,35.7,588,450,726,25.6,19.6,31.6,"30,728","27,960","33,496",,,,,,
1,25,1025,US1025,AL,Clarke County,"5,334","4,344","6,323",20.60,16.8,24.4,"1,882","1,484","2,279",29,22.9,35.1,"1,270",982,"1,558",26.1,20.2,32,"34,101","30,886","37,316",,,,,,
1,27,1027,US1027,AL,Clay County,"2,288","1,843","2,733",16.90,13.6,20.2,690,539,840,23.9,18.7,29.1,458,349,567,21.5,16.4,26.7,"33,032","30,197","35,867",,,,,,
1,29,1029,US1029,AL,Cleburne County,"2,167","1,746","2,588",14.80,11.9,17.7,741,581,901,22.3,17.5,27.1,484,370,598,20.2,15.4,24.9,"37,742","34,329","41,156",,,,,,
1,31,1031,US1031,AL,Coffee County,"7,139","6,136","8,142",15.20,13.1,17.4,"2,587","2,123","3,052",23,18.9,27.1,"1,602","1,269","1,935",19.9,15.7,24,"43,145","39,617","46,673",,,,,,
1,33,1033,US1033,AL,Colbert County,"6,861","5,688","8,034",12.70,10.5,14.9,"2,396","1,881","2,911",20.3,16,24.7,"1,617","1,233","2,001",18.6,14.1,23,"39,947","36,808","43,086",,,,,,
1,35,1035,US1035,AL,Conecuh County,"3,223","2,598","3,849",24.90,20.1,29.7,"1,043",819,"1,267",36,28.2,43.7,709,544,874,33.3,25.5,41,"27,068","24,321","29,816",,,,,,
1,37,1037,US1037,AL,Coosa County,"1,677","1,357","1,997",15.70,12.7,18.6,506,398,614,23.6,18.5,28.6,347,267,427,21.4,16.4,26.3,"36,050","32,754","39,346",,,,,,
1,39,1039,US1039,AL,Covington County,"6,852","5,721","7,983",18.90,15.8,22,"2,098","1,680","2,516",25.8,20.6,30.9,"1,385","1,077","1,693",23.8,18.5,29.1,"33,773","31,146","36,400",,,,,,
1,41,1041,US1041,AL,Crenshaw County,"2,569","2,075","3,064",18.90,15.3,22.6,832,653,"1,011",26.5,20.8,32.3,546,420,672,24.2,18.6,29.7,"34,402","31,391","37,414",,,,,,
1,43,1043,US1043,AL,Cullman County,"11,909","10,050","13,769",14.80,12.5,17.2,"3,600","2,883","4,318",19.7,15.8,23.6,"2,346","1,828","2,864",17.9,13.9,21.8,"39,276","37,034","41,517",,,,,,
