"Title: Population Distribution by Race/Ethnicity",,,,,,
"Timeframe: 2013",,,,,,
"Notes: See http://kff.org/other/state-indicator/distribution-by-raceethnicity/ for notes and sources.",,,,,,
Location,White,Black,Hispanic,Other,Total
"United States",195398700,37782700,54253200,25960800,313395400
Alabama,3192900,1252100,227200,83100,4755200
Alaska,445400,22000,59200,173200,699900
Arizona,3189300,289000,2501300,675300,6654800
Arkansas,2119200,458100,239300,124500,2941100
California,14894200,2078100,14832900,6309100,38114300
Colorado,3772600,187700,1085900,248100,5294200
Connecticut,2478900,383000,401200,282400,3545500
Delaware,586100,172600,96800,52400,907900
"District of Columbia",242100,308200,58100,42300,650700
Florida,11205700,3037700,4302100,833900,19379400
Georgia,5505900,2958900,753000,569300,9787100
Hawaii,236400,22900,161600,949000,1369900
Idaho,1341800,12200,181000,56700,1591700
Illinois,8322500,1752900,1965600,756200,12797300
Indiana,5264400,610300,382100,147100,6404000
Iowa,2611700,91800,192400,174900,3070800
Kansas,2193900,161700,239500,245600,2840600
Kentucky,3715800,337200,166700,151600,4371300
Louisiana,2708500,1428800,240900,136700,4514900
Maine,1250900,17800,13700,29700,1312200
Maryland,2956700,1701500,574400,712300,5945000
Massachusetts,4942200,427000,706100,520000,6595300
Michigan,7373100,1331500,395800,747800,9848100
Minnesota,4506900,290700,267900,339200,5404600
Mississippi,1670700,1079200,73600,N/A,2920000
Missouri,4891300,697300,182100,234300,6005100
Montana,892800,6200,21400,N/A,1002200
Nebraska,1476600,65900,221300,N/A,1844800
Nevada,1445800,224400,795300,294900,2760400
"New Hampshire",1224200,15200,32100,46200,1317700
"New Jersey",5240800,1051400,1711600,845500,8849300
"New Mexico",830900,40800,934500,293800,2100000
"New York",11377900,2549300,3362800,2228000,19518100
"North Carolina",5821500,2063800,902800,850700,9638800
"North Dakota",591000,11000,29100,N/A,711300
Ohio,9212500,1392000,437900,434900,11477300
Oklahoma,2413500,281700,370300,656900,3722400
Oregon,3022500,72500,413600,432700,3941300
Pennsylvania,9949000,1294200,863500,652500,12759200
"Rhode Island",793100,44400,155700,55000,1048300
"South Carolina",3059300,1273600,214800,136200,4683900
"South Dakota",732700,16000,19500,N/A,835800
Tennessee,4827400,1008200,411500,208600,6455600
Texas,10882900,3058400,10801600,1679700,26422500
Utah,2382500,38800,309400,147500,2878200
Vermont,577000,7100,11100,24800,620000
Virginia,5248200,1523900,702500,706100,8180700
Washington,4858400,245900,739000,1019000,6862300
"West Virginia",1711300,59700,30600,30900,1832500
Wisconsin,4706200,322400,411400,192100,5632100
Wyoming,501400,N/A,49600,23000,579600
